CustomerId;SalesThisYear;SalesLastYear;SalesPeriodThisYear;SalesPeriodLastYear;QuantityThisYear;QuantityLastYear;QuantityPeriodThisYear;QuantityPeriodLastYear;LastChanged
3444;10469005,79;27863666,45;422658,63;644213,56;33172;57568;702;1053;2019-10-16
1865;10272995,29;24635012,12;1016379,36;976152,66;15153;37792;1516;2773;2019-12-17
1025;8635501,86;19215502,41;733567,50;638891,47;12582;30224;1037;1045;2019-11-13
3346;4882801,33;31104454,01;1747798,08;0;5956;37391;2059;0;2019-07-30
555;3950952,03;8792571,58;500474,20;335280,16;9403;18001;602;890;2019-12-13
2813;3191703,52;2766086,74;246692,74;163792,92;5222;4876;432;316;2019-12-04
716;3033058,55;6593569,89;194141,96;245842,49;4910;10703;266;407;2019-12-11
1688;2756130,29;14057663,10;152889,42;157332,13;3987;17421;199;232;2019-11-25
7;2655621,18;4860958,93;268732,17;259879,59;5987;10566;490;591;2019-10-18
3103;2108517,39;5412105,00;208896,79;334204,82;4472;11058;337;609;2019-12-17
3313;2072993,81;6970816,68;1177167,06;9860,89;1835;7288;905;17;2019-12-12
2169;1892013,79;3122794,37;318328,23;280808,72;2946;4683;463;472;2019-11-05
3752;1793267,12;865631,24;159312,54;0;3001;1219;239;0;2019-12-12
1157;1761651,98;2921661,21;243745,24;212668,82;2843;4786;365;479;2019-07-14
14;1692205,18;3141215,53;160216,59;166749,13;3244;5038;309;338;2019-11-27
4046;1606672,93;3494386,13;206822,01;178890,43;1108;2231;164;111;2019-11-15
44;1270121,61;2528418,28;113359,9;190146,98;3965;5114;431;489;2019-08-08
3636;1244246,13;2351995,05;167192,13;178099,12;4065;6241;1175;624;2019-12-06
3067;1197740,65;1709353,06;48431,94;57774,42;1855;3359;77;134;2019-12-16
476;1170661,39;1797277,18;186096,96;80115,79;1514;2256;182;140;2019-11-12
3380;1124629,65;1884427,04;87392,00;67178,45;1574;2819;129;73;2019-10-15
278;1106702,36;2728810,47;161401,83;122918,10;1672;4318;299;229;2019-10-24
1929;1085831,69;6899314,95;199195,19;654265,41;10499;34151;426;1035;2019-12-03
1906;1035449,14;1908000,77;66772,42;55646,22;2039;4382;145;120;2019-11-17
1268;1025700,02;1012087,08;87972,8;32879,42;2102;1494;215;41;2019-04-08
2821;1002894,33;1977816,17;35118,5;65315,84;1987;4431;71;129;2019-02-22
1226;980912,96;3180863,36;150267,95;378937,85;1900;5374;233;578;2019-11-26
1352;969448,64;1970027,11;128377,68;190467,89;1219;2412;161;243;2019-07-02
2052;966895,42;1506628,91;95829,28;130797,87;898;1434;94;108;2019-11-06
1183;965961,65;2153240,10;116238,28;403779,23;904;2135;111;200;2019-12-13
217;903022,55;1006874,61;102212,30;59958,77;1014;1289;92;60;2019-11-04
2021;897226,22;1900410,06;68361,60;52039,68;947;2303;54;81;2019-10-18
446;897009,85;1349375,36;84338,69;89426,13;1352;2196;125;139;2019-09-11
1816;863335,27;1373249,51;64099,52;127781,38;1803;2850;146;259;2019-11-21
2924;850697,71;1585156,25;76122,77;40959,71;1859;2737;105;69;2019-12-13
512;831665,91;774308,80;14566;28634,54;1628;1157;26;58;2019-09-25
1205;831182,57;1587601,81;163122,02;198504,60;1495;2653;283;359;2019-01-04
1007;824366,99;1873284,95;92531,06;95373,70;963;1985;109;96;2019-11-16
4294;813406,58;0;58585,52;0;1873;0;83;0;2019-05-17
318;791683,17;1815110,50;0;0;3471;8129;0;0;2019-04-11
1928;735468,52;2722535,93;100730,17;29066,2;1001;4359;61;32;2019-02-19
1494;729860,57;882767,68;142212,14;92023,50;948;1217;175;114;2019-10-04
1512;717381,23;1698728,11;36250,95;71783,18;844;1923;66;119;2019-12-16
1368;708002,55;1122680,54;46202,58;40833,42;1287;2299;121;105;2019-06-03
1260;700582,47;398551,61;108702,99;38419,8;670;398;103;31;2019-12-02
2347;699209,91;742838,39;44564,98;40645,26;834;947;45;51;2019-09-06
558;689588,64;1255140,82;114528,98;129284,77;941;1672;122;202;2019-11-07
2120;689037,40;873563,43;95784,90;93184,50;931;1331;98;129;2019-12-06
1761;684374,77;1217663,60;17996,42;79262,67;887;1453;77;99;2019-07-03
4099;681216,88;643753,75;40609,58;44668,46;841;898;59;63;2019-10-15
2800;665795,18;1292136,67;37284,64;51882,95;683;1403;44;58;2019-05-22
1534;663116,89;1863258,66;78382,65;142648,60;858;2748;125;226;2019-09-11
1952;657481,18;1411835,86;49447;69396,64;1192;2613;105;123;2019-12-05
4333;648389,14;0;274511,02;0;731;0;391;0;2019-12-11
2088;633427,05;976681,43;41813,88;41263,55;1163;1754;76;90;2019-09-23
10;625902,44;1726744,86;48940,94;51270,75;1104;2680;113;107;2019-12-11
1975;622676,19;1656294,60;49793,48;99230,27;1205;2694;81;150;2019-11-18
1391;618609,62;911691,75;40831,36;79474,22;588;1219;54;91;2019-09-02
568;617186,42;1075880,94;104927,73;109987,21;710;1146;185;116;2019-10-11
1385;612489,94;1342032,12;88906,72;60792,98;1121;2408;103;128;2019-11-18
2557;602024,29;790897,67;97871,11;74691,27;1102;1631;112;123;2019-08-19
1706;600556,84;708564,23;32957,96;36059,41;842;917;93;43;2019-05-09
825;589929,67;768725,52;66123,70;84684,93;693;1041;109;80;2019-09-18
2968;588645,00;706728,09;21559,28;7841,37;495;700;22;11;2019-07-02
4088;573087,65;225084,06;34208,19;1614,86;939;172;37;2;2019-10-30
1536;571812,34;1030966,93;88816,70;99095,20;773;1548;118;141;2019-06-12
2127;555865,55;1148000,05;42590,24;49280,00;965;2227;57;79;2019-08-12
3041;554726,82;825878,30;65344,83;70388,93;544;816;72;73;2019-12-17
3370;554473,06;699970,08;28372,49;63036,05;843;836;50;69;2019-12-02
1496;551153,02;3989878,76;54212,54;568007;848;5064;64;812;2019-12-17
4215;531165,64;78343,84;54245,36;0;971;167;65;0;2019-12-17
3012;529759,73;740606,16;43932,83;48949,53;641;1082;62;69;2019-11-29
2165;523103,04;972990,95;10956,88;5113;679;1250;15;4;2019-09-18
4322;519869,8;0;0;0;1209;0;0;0;2019-04-11
2083;503505,07;234688,13;31657,54;0;870;447;60;0;2019-08-12
2399;499048,19;587830,97;19333,92;23285,34;731;1019;18;29;2019-10-28
1387;499016,45;884962,35;116279,86;36921,04;938;1304;145;54;2019-08-08
3170;494876,18;985649,11;45124,76;53856,36;604;1435;48;112;2019-12-18
1225;494283,36;682378,35;87875,40;76945,51;551;819;85;74;2019-08-01
2167;489224,49;853297,97;57869,94;26853,39;770;1183;67;40;2019-10-11
453;487864,95;700227,63;20384,20;6317;1048;1379;53;18;2019-11-06
1993;484663,96;1249156,77;66283,2;92411,84;302;726;32;63;2019-11-06
617;484111,97;1030810,32;78554,06;81653,30;618;1248;97;97;2019-11-07
3804;477155,61;989712,46;21463,81;21880,62;934;1703;56;21;2019-12-09
2060;475225,92;902886,68;0;0;1090;1814;0;0;2019-12-17
1247;471637,43;950087,99;11595,1;14921,16;779;1505;23;24;2019-12-09
1856;471280,34;1006032,92;56261,29;67894,80;563;1249;69;122;2019-12-04
2030;468711,45;716615,89;3568;19909,12;499;937;8;40;2019-11-15
2261;468028,26;948904,13;16750,56;6522,8;962;1846;24;12;2019-08-12
1313;465984,93;914199,27;55124,82;58933,74;822;1318;100;125;2019-07-03
3237;463733,72;608089,78;45789,02;27316,32;636;876;49;46;2019-04-08
822;460739,50;699506,65;67258,14;28952,68;581;1027;58;38;2019-12-06
1312;457948,11;530866,54;51517,19;37423,86;806;846;95;43;2019-08-05
3767;454452,52;557494,28;16119,84;4139;700;984;19;10;2019-12-16
3105;454229,30;882975,57;42337,60;55239,36;717;1464;74;112;2019-08-12
1243;451393,87;470058,81;25431,93;49143,76;468;504;27;36;2017-02-16
3948;451361,68;1307641,28;86559,92;65933,78;546;1357;81;91;2019-11-04
3896;447992,15;932484,73;30405,26;21103,63;779;1482;58;29;2019-10-01
3042;447484,83;437172,09;31378,66;19534,08;567;615;35;30;2019-11-13
1942;441627,99;709388,66;37717,36;28732,26;786;1331;64;54;2019-08-12
2054;441294,06;442617,64;30844,42;40358,31;688;692;88;53;2019-08-07
1696;440310,35;622008,05;57561,44;49627,02;531;679;66;64;2019-07-19
1338;438416,09;1101453,72;65239,53;34671,48;759;1672;113;47;2019-11-18
3049;434280,14;682818,58;70273,1;83307,97;812;1016;116;159;2019-07-23
3471;431458,55;833745,17;31993,76;5630,6;541;1066;28;10;2019-10-03
1241;417012,33;649673,38;98028,08;48608,49;491;754;92;67;2019-07-02
1198;416577,18;688261,19;31576,32;50423,31;598;997;50;62;2019-10-18
3160;416242,92;139245,53;0;0;575;200;0;0;2019-12-04
627;410170,27;741600,48;12349,54;55665,28;486;937;16;33;2019-09-04
1373;409719,46;750543,90;34915,20;83863,22;648;1211;44;130;2019-06-17
4162;407771,16;1688480,73;0;0;534;2102;0;0;2019-04-30
1802;407097,18;295826,51;35777,92;17977,56;378;301;40;22;2019-10-14
2147;404383,42;867445,27;6937,4;12929,88;441;1101;2;14;2019-12-01
2824;403954,15;816244,10;58192,42;28693,02;681;1442;103;40;2019-11-06
2644;402539,10;657542,17;39098,42;29963,96;701;1164;87;70;2019-05-27
1678;400374,96;672835,46;60277,15;80774,78;681;1142;106;146;2019-07-02
874;400175,71;1455381,10;57389,42;115396,96;505;1839;49;135;2019-08-19
4313;395612,79;0;25182,42;0;803;0;47;0;2019-11-26
2970;388577,05;348146,41;48033,04;13267,06;374;404;43;33;2019-07-02
2315;385888,58;350661,75;40726,26;3066,38;627;570;60;10;2019-12-12
790;384576,87;460206,70;33896,08;51103,48;561;714;57;64;2019-07-02
2953;383258,26;464057,04;54372,63;35348,35;619;693;121;45;2019-09-06
1778;376460,67;957918,67;71257,78;101338,24;401;963;55;110;2019-07-05
2327;372899,30;507904,42;41557,62;70985,34;482;638;64;94;2019-10-21
2278;370352,41;897884,68;48519,76;24668,92;531;1154;59;52;2019-08-12
1981;369929,36;1028837,69;0;26055,1;535;1579;0;37;2019-10-07
2770;366464,50;690021,19;40116,20;77350,56;568;802;81;65;2019-12-03
3649;364644,63;876209,24;27255,99;17282,48;483;1113;25;19;2019-12-11
1982;363260,37;560388,20;0;5893,2;507;709;0;8;2019-11-04
2187;362073,72;826358,02;22335,54;36824,52;717;1549;34;69;2019-09-16
2174;359750,61;812543,53;38687,22;17299,56;470;1229;44;25;2019-06-25
646;359296,55;503553,89;43735,90;57288,28;708;943;98;96;2019-07-11
3403;348119,9;651549,16;38680;73757,8;168;250;15;41;2019-06-25
1763;344716,57;801784,22;45797,93;55450,06;382;970;45;84;2019-12-10
3651;344696,82;488366,49;11073,48;35935,82;534;735;6;63;2019-11-21
1785;342166,69;674291,55;17724,60;51899,50;386;734;34;72;2019-06-17
3050;341746,81;451878,68;68832,72;18392,78;381;674;77;21;2019-12-03
1805;340927,85;424908,69;30096,78;4692,46;320;452;31;15;2019-11-01
2854;340271,63;767160,68;52287,22;26247,24;595;1084;88;36;2019-11-25
1143;340041,50;732134,84;97009,26;103822,73;1231;1856;80;182;2019-09-18
3244;339088,52;1067930,87;39015,6;93535,79;244;584;20;30;2019-10-09
1793;338777,52;286254,88;13271,23;8280,25;381;271;16;10;2019-10-29
1578;338383,14;612963,13;50581,10;45440,76;449;889;56;88;2019-09-10
2974;337447,25;537187,21;52650,48;34415,84;539;855;86;67;2019-12-05
4222;332817,51;170411,62;18954,04;0;611;289;37;0;2019-11-20
1170;332447,56;638631,75;26897,10;68641,77;484;822;39;62;2019-08-13
1636;331582,84;487033,46;47270,20;109879,56;528;694;92;126;2019-09-04
2780;331452,38;653964,11;72987;19121,5;517;1219;65;36;2019-06-14
1961;331109,48;515230,72;27829,80;73421,70;820;1224;70;204;2019-12-10
4241;330131,78;117190,22;16186,12;0;466;170;28;0;2019-11-17
1177;329278,99;495117,67;49814,96;38155,24;434;662;57;53;2019-07-04
2013;326028,72;921236,90;44479,58;29657,12;269;776;30;15;2019-10-08
1354;324880,69;620881,42;52597,77;67121,58;361;1257;85;428;2019-10-24
2016;321129,29;351809,73;29589,32;14092,06;376;420;27;17;2019-08-06
2511;321015,65;459079,74;16314,64;24179,90;412;721;27;55;2019-10-30
4069;320899,26;278453,85;58959,37;5960,26;302;283;55;8;2019-10-21
1921;317404,50;493134,04;68754,20;48082,59;559;636;104;72;2019-05-23
1147;313280,85;1025681,35;8431,31;35903,94;441;1196;19;89;2019-12-11
1559;312817,02;338128,68;12704,82;25271,52;510;623;17;38;2019-08-26
1187;312035,92;529930,92;1397,94;20012,04;648;1159;2;32;2019-06-14
1822;310319,43;430493,20;16939,02;16292,38;465;692;34;20;2019-10-22
2806;307668,90;613822,97;22975,20;15485,55;392;891;31;21;2019-11-13
1479;306031,01;297322,81;56088,55;59219,7;404;809;76;74;2019-11-11
3194;305246,95;419729,61;32565,58;4124,92;416;653;34;8;2019-11-14
3286;303939,68;225408,95;18699,40;22369,44;582;407;28;27;2019-06-14
107;303743,50;537695,94;78870,22;41451,25;449;819;108;70;2019-11-27
1301;303194,64;249084,58;32862,04;0;568;344;65;0;2019-10-15
2268;302472,02;206935,71;10447,31;13678,14;518;299;18;19;2019-10-29
4;300589,62;753641,43;6893,34;12164,78;540;1240;8;18;2019-08-19
2115;300040,71;444489,56;39804,23;29407,92;608;1011;63;51;2019-12-04
3652;299234,85;1025447,93;27844,32;64015,55;465;2089;49;120;2019-08-08
2891;295199,36;419119,65;32016,08;9593,66;429;671;62;19;2019-12-17
3481;292090,11;563042,72;57543,78;38182,48;368;629;65;35;2019-11-13
3031;291619,97;511355,62;32885,66;34588,33;301;602;35;48;2019-11-12
3011;290237,78;222100,34;24106,43;30309,48;466;242;37;25;2019-05-23
359;288553,46;368517,17;52736,90;25873,25;364;618;38;52;2019-10-17
2799;286597,06;187899,82;10297,84;0;488;290;20;0;2019-06-16
2863;286242,03;552336,71;36705,86;15958,5;669;1133;78;35;2019-11-28
2025;286088,52;452483,01;48232,51;35281,06;424;745;58;47;2019-10-22
2465;284416,60;782207,67;40534,39;35816,94;316;895;39;58;2019-08-26
2137;280901,04;446511,21;3430,72;7888,78;566;869;4;8;2019-10-31
3432;280758,46;274447,66;22395,18;6612;459;485;38;12;2019-09-19
3257;279729,58;367133,36;16298,54;9004,5;481;708;29;16;2019-09-02
4123;279651,73;300299,02;13702,30;34667,82;430;437;15;44;2019-09-10
1753;277443,90;635674,57;39868,50;28176,78;482;985;52;50;2019-10-15
2047;276456,26;528083,13;10430,52;18777,12;495;995;12;18;2019-10-24
1033;274920,74;498413,10;9062,90;38107,22;189;306;21;18;2019-12-13
2345;271650,87;360868,79;17657,59;22238,53;428;543;36;31;2019-10-10
308;271126,33;376296,54;22019,34;42047,32;335;377;25;42;2019-06-11
1801;267211,22;755268,40;9737,45;46314,53;324;705;25;38;2019-11-12
1930;266739,08;537326,31;23645,20;16632,32;405;999;30;36;2019-11-25
2812;266377,06;435672,38;34496,10;34890,69;291;557;17;53;2019-11-12
812;266335,68;610830,99;5739,91;33238,77;336;842;22;50;2019-12-16
876;265969,52;501864,43;32446,28;54115,07;420;766;60;96;2019-07-05
1191;265966,90;766046,14;75178,65;116068,36;464;1050;109;157;2019-08-19
1151;265921,92;545576,80;16429;18652,4;647;1384;41;32;2019-11-01
1556;264448,76;579797,86;36381,85;16209,84;435;849;43;19;2019-09-20
3698;264395,32;231232,53;4978;3712,65;481;375;8;5;2019-12-12
2463;264201,04;565784,50;28926,34;25925,06;498;1001;42;43;2019-12-05
1777;263896,86;537332,81;26997,72;32144,34;344;687;40;58;2019-10-11
2305;263155,06;267955,03;0;0;461;454;0;0;2019-06-01
1417;262698,19;578091,03;49224,51;20246,03;362;554;74;27;2019-10-11
2125;261567,61;294084,22;4997,48;16458,4;632;549;8;46;2019-10-30
1685;261563,76;613079,83;17759,98;1862;404;797;28;2;2019-08-20
2171;261473,68;783629,05;10760,04;13853;311;947;12;16;2019-11-13
1769;259089,43;328975,16;40920,56;4920,75;307;473;38;9;2019-09-12
1483;258503,87;547274,99;27230,4;33668,71;332;664;29;37;2019-08-12
1947;258437,98;475385,05;15742,4;3371,74;383;678;16;9;2019-11-29
2200;257818,58;508772,68;17753,78;37096,32;366;750;30;41;2019-11-26
3149;257220,85;653544,06;13659,22;14288;349;989;17;30;2019-10-30
2391;256001,74;499834,62;47684,66;22873,00;315;631;41;23;2019-11-06
1909;254473,54;281873,11;32001,36;46934,66;387;497;36;44;2019-07-02
1464;251774,40;221303,84;50016,50;3948,06;381;365;57;6;2019-07-31
3064;249994,87;376877,81;13764,96;954;375;574;20;4;2019-09-06
2335;249034,95;404800,82;53144,28;15498,18;328;471;48;22;2019-10-02
3343;248398,66;324821,92;11730;14837,68;322;288;30;6;2019-09-22
1820;247769,76;375629,49;9894,16;13835,46;402;691;12;41;2019-12-11
3189;246524,47;688264,02;18456,66;24072,92;629;1836;35;26;2019-07-16
2966;245786,42;489467,89;32604,04;42264,79;358;711;37;62;2019-09-16
2374;245760,96;453712,48;13702,32;3134,5;275;565;20;11;2019-12-02
1617;244534,44;397928,11;30646,68;13302;412;658;45;20;2019-11-20
3472;244207,34;250891,31;5435;6005;318;456;10;18;2019-11-19
1848;242580,32;459180,98;17216;32695,36;438;962;31;46;2019-06-27
3026;241758,08;259766,83;17491,77;44206,08;394;430;28;72;2019-07-15
1698;241348,83;336575,25;0;0;363;487;0;0;2018-06-18
2957;241122,01;642174,79;27862,77;104472,47;345;881;33;150;2019-07-02
1017;240945,06;417149,45;27864,29;19858,85;208;353;24;22;2019-12-09
839;240116,78;1284067,33;22999,33;176934,68;377;1624;36;204;2019-07-02
4385;239956,62;0;0;0;321;0;0;0;2019-07-19
2143;239607,14;392203,99;5340,6;11731,8;327;533;8;8;2019-12-17
3761;238996,95;124445,60;32511,68;6464;233;104;22;4;2019-12-17
1723;238933,44;616947,61;21677,97;35401,05;412;759;49;58;2019-08-12
2462;238878,80;172126,59;13340,24;4368,64;519;300;23;4;2019-10-08
1003;238388,18;363219,27;7833;10867,82;386;721;16;18;2019-09-05
2978;237989,06;332274,82;24172,81;15003,31;542;534;46;27;2019-11-22
1964;236271,03;367547,75;29236,12;0;328;541;32;0;2019-12-16
1807;233386,51;400282,08;4766,59;28097,81;355;511;18;43;2019-07-04
3597;231110,4;430009,74;48250;12576;120;177;25;8;2019-09-02
1566;228688,39;334806,74;7224,6;14168,60;327;459;11;16;2019-06-17
1951;228303,10;337420,49;15089,94;14531,56;421;653;19;27;2019-08-12
1692;227948,75;591393,95;7957,86;12464,07;435;996;21;33;2019-08-08
1508;226883,39;523427,82;12393,74;29004,90;431;886;21;53;2019-12-02
3033;225617,23;396299,11;21101,26;36338,33;265;474;18;38;2019-06-10
3654;225105,46;798219,36;0;5924,22;342;1041;0;5;2019-11-13
1888;224442,61;392373,10;49591,60;47382,62;268;472;49;48;2019-10-10
2271;223431,83;1057102,79;30423,64;37994,17;358;1100;47;82;2019-12-05
2489;222822,04;188843,69;60770,66;14399,44;218;184;56;12;2019-10-02
2162;222282,40;386257,56;25944,88;49521,96;155;313;34;26;2019-12-13
4034;221817,32;408212,48;6853,48;40376;366;788;-7;44;2019-12-12
3006;221662,10;291251,76;28590,2;12752,98;384;497;34;21;2019-12-09
3230;221282,18;572479,39;9218;23910,04;309;1168;12;29;2019-08-16
2157;220642,96;500325,66;4596,23;10585;324;781;9;8;2019-12-02
4048;219798,23;363279,62;14286,77;27094,22;274;887;9;30;2019-10-14
579;219158,46;547113,72;30426,28;30364,62;272;607;50;41;2019-11-25
2611;217879,09;292192,78;13829,80;18843,32;262;437;25;22;2019-10-31
1970;217219,30;851401,25;31299,76;22175;587;2738;61;45;2019-12-16
3007;217078,19;322074,80;4584,5;13344,82;202;388;9;24;2019-06-14
2260;216910,00;428865,16;13466,57;3346,8;331;586;21;9;2019-07-02
614;213464,48;301981,52;15582;89612,03;359;384;17;51;2019-11-08
4038;213408,08;333883,55;46590;8240,72;598;747;170;10;2019-12-09
3911;213206,38;268625,90;11181,27;0;438;395;20;0;2019-08-14
2113;210416,83;349478,02;29056,44;18542,1;545;830;88;49;2019-12-18
1760;210197,84;518911,50;-5033,33;3625,24;267;718;11;11;2019-03-14
509;209264,16;472187,63;28448,12;33257,24;340;777;42;50;2019-11-06
3362;208755,39;505330,31;23214,90;29266,52;387;845;69;87;2019-07-14
1868;207153,81;295458,30;22426,90;18604,4;379;501;46;30;2019-08-07
1442;206693,93;343090,80;13517,55;45342,26;291;456;25;51;2019-08-19
3178;206520,79;466838,30;30204,22;36544,20;244;565;36;49;2019-11-26
2614;205891,24;415772,24;11319;4128;327;626;20;8;2019-10-08
3918;205307,84;278298,35;37226;16243,55;123;536;8;31;2019-07-03
3613;205232,41;235647,80;26893,38;11821,42;362;500;27;24;2019-10-28
3017;205169,15;297468,69;1127;16168,96;517;720;2;11;2019-12-17
2804;204768,18;263496,98;24691,08;4993,76;317;415;40;8;2019-09-17
2939;204674,63;343420,03;19860,92;18260,07;342;622;29;38;2019-07-02
3491;203979,82;169601,74;8133;6000;186;179;9;4;2019-10-07
3210;202657,10;359931,98;2515,56;0;295;505;4;0;2019-10-30
118;202362,72;614887,97;17806,84;7555,43;357;601;21;9;2019-05-15
3548;202306,82;665018,36;9308;27793,26;405;1567;8;26;2019-12-12
2983;201300,10;177060,02;13374,29;5035,25;320;269;17;5;2019-11-11
1744;200600,71;572572,25;21013,46;26449,75;259;887;28;27;2019-12-16
1974;200371,60;200925,76;21418,94;9155,06;259;381;42;12;2019-05-14
873;200327,26;490963,84;-2836,2;37277,08;308;646;5;57;2019-11-04
435;200126,35;390736,49;18841,10;43124,33;318;490;42;44;2019-04-26
2889;199922,25;403066,66;23792,95;36405,94;326;718;47;58;2019-12-16
1912;198575,17;414023,07;25028,17;38473,60;319;813;47;70;2019-11-06
1934;198417,96;65437,02;6612,2;0;339;114;14;0;2019-12-06
2280;198375,27;365984,26;57598,50;30739,26;262;851;58;32;2019-10-24
2071;196921,10;797601,72;25665,82;59569,6;248;3748;92;78;2019-09-18
1506;196633,61;157766,19;61153,54;6657;425;144;150;17;2019-11-25
3046;196180,47;427175,86;24451,97;31340,40;215;373;26;30;2019-12-09
